City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Najran,SA,79.47,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
9,The Valley,AI,80.82,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
15,Avarua,CK,75.25,drizzle,-21.2078,-159.775,Paradise Inn
18,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
23,Kapaa,US,84.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Hilo,US,81.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
34,Hovd,MN,80.85,overcast clouds,48.0056,91.6419,Hotel Khovd
35,Cayenne,GF,76.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
47,Naze,JP,79.02,overcast clouds,28.3667,129.4833,Shishime Hotel
52,Bonthe,SL,76.96,moderate rain,7.5264,-12.505,Bonthe Holiday Village
71,Malakal,SS,80.4,overcast clouds,9.5334,31.6605,Nile Palace Hotel
72,Wanning,CN,87.53,overcast clouds,18.8003,110.3967,Paradise Hotel
75,Tutoia,BR,76.3,few clouds,-2.7619,-42.2744,Pousada Guará's
80,Khuzdar,PK,83.12,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
82,Hithadhoo,MV,83.16,scattered clouds,-0.6,73.0833,Scoop Guest House
83,Baracoa,CU,79.09,broken clouds,20.3467,-74.4958,Hostal Rio Miel
91,Hopelchen,MX,78.71,overcast clouds,19.7667,-89.85,Hotel Jaguar
92,College,US,77.0,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
96,Maracaibo,VE,81.19,broken clouds,10.6317,-71.6406,Motel Aladdin
102,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
106,Sur,OM,84.74,clear sky,22.5667,59.5289,Sur Plaza Hotel
107,Atuona,PF,77.13,broken clouds,-9.8,-139.0333,Villa Enata
110,Coahuayana,MX,78.84,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
111,San Patricio,US,84.09,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
120,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
122,Harper,LR,76.64,clear sky,4.375,-7.7169,Screensaver
125,Bengkulu,ID,82.24,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
129,Dwarka,IN,85.03,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
131,Victoria,HK,84.96,moderate rain,22.2855,114.1577,Mini Central
132,Lengshuitan,CN,83.21,broken clouds,26.4111,111.5956,Jialong Hotel
138,Faanui,PF,80.04,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
143,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
151,Dakar,SN,76.08,broken clouds,14.6937,-17.4441,Novotel Dakar
155,Griffith,US,83.3,clear sky,41.5284,-87.4237,Apartment above Depot Bar
157,Kingman,US,89.08,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
160,Slidell,US,86.0,clear sky,30.2752,-89.7812,Hampton Inn Slidell
161,Butaritari,KI,82.02,few clouds,3.0707,172.7902,Isles Sunset Lodge
176,Sakakah,SA,77.43,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
184,Aquiraz,BR,81.18,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
186,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
188,Melville,US,77.16,clear sky,40.7934,-73.4151,Marriott Melville Long Island
189,Eyl,SO,80.74,broken clouds,7.9803,49.8164,Amiin Hotel
196,Kalianget,ID,82.58,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
197,Karwar,IN,81.39,broken clouds,14.8,74.1333,Netalco Connects
198,Hit,IQ,82.71,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
203,Sola,VU,80.11,scattered clouds,-13.8833,167.55,Leumerus Bungalows
207,Katobu,ID,75.79,heavy intensity rain,-4.9408,122.5276,La Ode Husein
226,Monrovia,LR,78.57,overcast clouds,6.3005,-10.7969,Sunset Inn
232,Pemangkat,ID,82.9,overcast clouds,1.1667,108.9667,Ramah Kost KITA
234,Houston,US,86.34,haze,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
235,Laguna,US,80.06,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
238,Isangel,VU,80.85,overcast clouds,-19.55,169.2667,Tanna Lodge
240,Kilindoni,TZ,79.03,broken clouds,-7.9139,39.6668,Bustani B&B
241,Balikpapan,ID,81.59,light rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
242,Morro Bay,US,76.93,clear sky,35.3658,-120.8499,Inn at Morro Bay
244,Bagdarin,RU,75.67,few clouds,54.4333,113.6,Gostevoy Dom Terem
248,Kavieng,PG,83.37,light rain,-2.5744,150.7967,Nusa Island Retreat
250,Salinopolis,BR,80.06,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
251,Samarai,PG,83.89,clear sky,-10.6167,150.6667,Nuli Sapi
253,Fuyang,CN,87.21,clear sky,32.9,115.8167,Fuyang Wanda Realm Hotel
255,Saint-Marc,HT,80.31,scattered clouds,19.1082,-72.6938,Maguana Hotel
257,Kulhudhuffushi,MV,82.87,overcast clouds,6.6221,73.07,Haajy Guest House 1
259,Mandan,US,76.98,broken clouds,46.8267,-100.8896,Twin City Estates
270,Tiarei,PF,84.0,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
275,Lalmohan,BD,85.1,overcast clouds,22.3384,90.7419,Arifur Rahman Miraj
276,Koumac,NC,75.27,overcast clouds,-20.5667,164.2833,Le Monitel
