City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Castro,BR,-24.7911,-50.0119,41.7,95,0,4.25,clear sky
1,Bethel,US,41.3712,-73.414,72.75,71,0,0.0,clear sky
2,Rio Gallegos,AR,-51.6226,-69.2181,41.63,88,100,10.65,overcast clouds
3,Carnarvon,AU,-24.8667,113.6333,68.0,51,59,9.62,broken clouds
4,Najran,SA,17.4924,44.1277,79.47,40,37,5.39,scattered clouds
5,Jamestown,US,42.097,-79.2353,63.95,41,100,1.01,overcast clouds
6,Natal,BR,-5.795,-35.2094,72.25,100,40,3.44,scattered clouds
7,Ust-Tsilma,RU,65.441,52.1498,55.33,87,100,3.69,overcast clouds
8,Geraldton,AU,-28.7667,114.6,66.61,59,69,12.66,broken clouds
9,The Valley,AI,18.217,-63.0578,80.82,78,1,19.77,clear sky
10,Ostrovnoy,RU,68.0531,39.5131,45.27,93,99,5.68,overcast clouds
11,Sao Joao Da Barra,BR,-21.6403,-41.0511,65.64,77,100,16.33,overcast clouds
12,Lata,PT,40.1629,-8.3327,67.08,79,65,1.72,broken clouds
13,Saint-Philippe,RE,-21.3585,55.7679,65.79,77,49,14.74,scattered clouds
14,Albany,US,42.6001,-73.9662,63.01,73,100,5.77,overcast clouds
15,Avarua,CK,-21.2078,-159.775,75.25,94,75,11.5,drizzle
16,Mataura,NZ,-46.1927,168.8643,39.47,93,100,13.82,overcast clouds
17,Eureka,US,40.8021,-124.1637,58.19,71,0,11.99,clear sky
18,Vaini,TO,-21.2,-175.2,80.76,78,20,5.75,few clouds
19,Villa Carlos Paz,AR,-31.4241,-64.4978,55.38,28,93,3.0,overcast clouds
20,Mar Del Plata,AR,-38.0023,-57.5575,51.1,75,0,9.22,clear sky
21,Barrow,US,71.2906,-156.7887,37.42,75,0,17.27,clear sky
22,Porosozero,RU,62.7191,32.727,53.94,76,24,4.88,few clouds
23,Kapaa,US,22.0752,-159.319,84.18,78,100,17.27,overcast clouds
24,Bredasdorp,ZA,-34.5322,20.0403,51.69,88,30,6.93,scattered clouds
25,Busselton,AU,-33.65,115.3333,64.45,60,10,11.99,clear sky
26,Hirado,JP,33.3597,129.5531,70.39,92,100,9.62,overcast clouds
27,Rocha,UY,-34.4833,-54.3333,48.04,95,24,6.8,few clouds
28,Nawashahr,IN,31.1167,76.1333,100.78,20,2,6.73,clear sky
29,Ushuaia,AR,-54.8,-68.3,40.66,87,40,13.8,scattered clouds
30,New Norfolk,AU,-42.7826,147.0587,51.93,64,79,2.95,broken clouds
31,Torbay,CA,47.6666,-52.7314,42.28,93,75,9.22,mist
